claim_amount,policy_age_days,claim_frequency_12m,days_since_inception,premium_paid,sum_assured,policyholder_age,num_policies,num_past_claims,claim_to_premium_ratio,is_high_risk_state,product_type,has_telematics,claim_filed_weekend,claim_filed_night,multiple_claims_same_period,address_change_before_claim,beneficiary_change_before_claim,late_premium_payments,claim_docs_submitted_count,kyc_verification_score,agent_fraud_history_score,is_fraud
2619298.98,1812,2,527,59099.55,4058877.69,38,3,0,44.3194,1,1,0,0,0,0,1,0,2,5,81.9,83.8,1
159492.82,193,0,2398,9541.22,260209.86,30,2,0,16.7144,0,1,1,0,1,0,0,0,4,1,90.5,75.4,1
33304.03,508,2,616,7262.93,1171281.32,63,7,0,4.5849,0,0,0,0,0,0,0,0,1,2,55.1,96.0,0
558951.15,3361,1,2444,6248.94,532818.84,51,7,0,89.433,0,1,0,0,1,0,0,0,0,1,37.5,64.0,0
26075.06,1162,2,84,5202.97,8865225.77,72,6,2,5.0106,0,5,0,0,0,0,0,0,2,3,80.8,95.5,0
222636.44,1004,3,120,3905.09,1736601.58,52,5,0,56.9973,0,2,0,0,0,0,0,0,2,6,40.8,98.5,0
8608.41,3523,0,1509,46346.6,315123.04,21,2,1,0.1857,0,7,0,1,0,0,0,0,1,6,90.3,64.9,0
22197.19,3383,1,687,22980.93,1502225.89,18,5,0,0.9659,0,2,0,0,1,0,0,0,1,6,77.0,84.2,0
218664.06,3629,2,2466,6357.0,2196621.85,49,7,0,34.392,0,4,0,0,0,0,0,0,1,4,81.9,90.4,0
492721.74,2235,1,1677,51925.25,117991.25,65,2,1,9.4889,0,2,0,0,0,0,0,0,3,7,82.9,95.3,0
210460.32,2918,1,2980,5748.97,4434750.86,34,1,1,36.602,0,6,0,0,0,0,0,0,0,3,60.9,84.0,0
136834.52,2335,1,3537,11613.67,205807.51,42,3,1,11.7812,1,3,0,0,0,0,0,0,6,9,90.2,89.2,0
103605.37,3541,2,459,47505.87,1023766.07,35,4,1,2.1809,0,3,0,1,0,1,0,0,2,3,83.1,85.2,0
17715.89,472,2,3079,40489.34,339060.45,28,6,0,0.4375,1,3,0,0,0,0,0,0,0,9,42.8,85.4,0
55283.72,1659,0,2804,31728.19,1033984.03,26,2,1,1.7424,1,4,0,1,0,0,0,1,1,2,66.7,99.7,0
81555.73,2136,1,1053,38564.49,899838.67,33,2,0,2.1147,0,0,0,0,0,0,0,0,0,6,72.1,51.3,0
794670.89,436,0,1753,353027.44,1872199.88,20,6,0,2.251,0,0,0,0,1,0,0,0,2,5,81.9,92.4,0
272509.14,138,1,1659,16751.84,490382.48,43,3,0,16.2664,0,2,0,1,0,0,0,0,2,5,43.9,68.6,0
11561.54,1798,0,2998,25473.64,2170935.97,38,2,0,0.4538,0,7,1,1,0,0,0,0,0,2,65.0,66.4,0
264640.07,2927,0,3097,41690.54,2393659.96,26,7,2,6.3476,0,5,0,0,0,0,0,0,2,4,79.9,97.6,0
91342.97,1966,2,1262,18290.79,1787464.38,33,2,1,4.9937,1,6,0,0,0,0,0,0,0,6,51.2,83.6,0
58960.15,1388,1,2636,125128.21,3538581.58,18,5,2,0.4712,0,2,0,1,0,0,0,0,1,1,84.6,93.0,0
407385.19,1866,1,2165,8870.95,14925956.5,46,2,0,45.9183,0,3,0,0,1,0,0,0,2,1,65.1,80.3,0
764134.64,2974,1,3206,11255.83,420524.54,48,4,1,67.8819,0,7,0,0,0,0,0,0,2,2,80.7,76.8,0
657973.66,117,3,1559,6838.0,1705153.46,27,5,3,96.209,1,1,0,0,0,0,0,0,4,5,81.8,71.1,0
46220.27,847,1,3066,26844.27,230517.54,28,2,0,1.7217,0,5,1,1,0,0,0,0,2,6,52.5,85.0,0
102352.85,1486,0,1668,42066.1,1384619.17,72,7,0,2.4331,0,0,0,0,0,0,0,0,3,1,61.0,89.6,0
267505.43,959,0,3446,22593.4,1828185.63,59,3,2,11.8395,0,1,0,0,0,0,0,0,1,2,82.9,67.8,0
703144.5,2904,1,2600,62559.67,20623072.98,51,7,0,11.2394,0,3,0,0,0,0,0,0,3,5,61.0,87.1,0
79319.45,1087,2,2017,22888.13,3680415.84,19,7,1,3.4654,0,7,0,0,0,0,1,0,2,5,67.4,71.6,0
123193.5,1098,1,2705,30266.49,2192453.83,61,2,1,4.0702,0,3,0,1,0,0,0,0,1,4,78.3,92.7,0
30961.43,1498,2,2795,21156.37,146617.44,27,3,0,1.4634,0,5,0,1,0,0,0,0,1,4,86.9,62.9,0
27056.7,2430,0,2180,37374.97,6592378.64,32,5,0,0.7239,1,1,0,0,0,0,0,0,3,3,58.7,96.1,0
550613.69,3092,0,2404,55805.62,11404302.38,28,4,1,9.8665,0,0,0,0,0,0,0,0,2,5,88.0,66.5,0
1244643.92,1053,0,1307,39303.38,770893.34,27,1,0,31.6668,1,2,0,1,0,0,1,0,0,7,78.7,61.6,0
146090.97,1186,0,1379,12037.68,708070.06,68,1,1,12.1351,0,6,0,0,0,0,0,0,0,1,77.9,81.5,0
733292.06,2754,0,763,7274.86,603971.35,54,7,1,100.7842,0,4,0,0,0,0,0,0,2,4,68.4,91.2,0
279974.56,1730,3,1635,32721.06,419436.37,31,4,1,8.5561,0,0,0,1,0,0,0,0,1,8,79.8,85.5,0
61840.91,1666,3,180,40321.87,446856.94,30,1,1,1.5336,0,0,0,1,0,0,0,0,1,2,59.0,95.4,0
279873.62,1992,0,1646,53425.24,12751357.31,64,3,0,5.2385,0,4,0,0,0,0,0,0,1,1,71.7,87.0,0
1634838.94,822,2,2197,5702.78,865492.59,20,6,0,286.6238,0,2,0,1,0,0,0,0,1,1,54.5,54.8,0
154239.36,1298,0,2345,17379.58,996136.45,74,6,3,8.8742,0,6,0,1,0,0,0,0,3,2,62.4,91.9,0
1701405.93,1773,2,2712,9662.13,327309.73,73,6,1,176.0719,0,5,0,1,0,0,0,0,1,1,46.7,82.8,0
3198.32,1745,1,3151,12850.76,445428.96,36,5,0,0.2489,0,6,0,1,0,0,0,0,1,7,63.7,73.3,0
558412.8,286,1,3154,58118.89,1193859.94,57,6,1,9.6079,1,4,0,1,0,0,0,0,1,7,75.7,66.3,0
185455.57,1288,0,2352,25483.32,1971139.66,65,5,1,7.2772,0,0,1,0,0,0,0,0,2,8,82.7,92.5,0
103931.67,2798,0,2887,4338.68,4490546.58,65,3,0,23.9492,0,0,1,1,0,0,0,0,2,3,58.4,80.2,0
186771.49,3123,2,1122,12492.48,1064516.75,26,2,0,14.9495,0,1,0,1,0,0,0,0,3,2,64.5,63.6,0
8255.6,1875,1,1882,15867.37,1738892.47,34,2,2,0.5203,0,1,0,1,0,0,0,0,4,9,63.9,91.5,0
117065.88,3192,1,1475,32482.37,1865970.99,33,5,2,3.6039,0,0,0,1,1,0,0,0,2,2,65.1,89.2,0
278081.32,2917,1,80,11376.71,629062.62,71,2,1,24.4409,0,0,0,0,1,0,0,0,1,6,58.5,72.2,1
1493810.91,1432,3,625,33008.46,572900.99,21,1,0,45.254,1,6,0,0,0,0,0,0,2,4,61.4,80.8,0
74801.61,3538,0,38,54591.28,5088716.56,28,4,0,1.3702,1,6,0,0,0,0,0,0,0,8,80.9,81.9,0
48400.22,2698,2,3149,21454.12,4403824.21,62,7,1,2.2559,1,5,0,0,0,0,0,0,4,1,66.1,85.4,0
76677.56,1680,2,1509,35218.16,1391636.23,60,6,2,2.1772,0,3,0,1,0,0,0,0,4,8,40.5,60.9,0
642487.84,633,2,3191,18673.9,515724.45,53,7,0,34.4038,0,5,0,0,0,0,0,0,1,6,45.0,82.9,0
266499.24,3634,3,437,25475.46,10725191.55,40,5,2,10.4606,0,6,0,1,0,0,0,0,3,5,45.6,78.5,0
73523.45,3625,0,1965,15760.46,21734.82,39,3,0,4.6648,1,2,0,0,0,0,0,0,4,6,70.0,87.7,0
351477.56,566,2,275,8515.38,552571.76,68,4,0,41.2708,0,2,1,0,0,0,0,0,1,8,99.5,79.4,0
188266.98,1836,2,3161,5999.93,757053.58,26,3,1,31.373,0,2,0,1,0,1,0,0,1,4,66.5,77.7,1
695904.34,3388,0,2079,17225.36,1364234.76,21,1,2,40.3976,0,7,1,0,0,0,0,0,0,1,81.8,50.9,0
56778.92,325,1,438,100267.88,372764.34,52,2,2,0.5663,0,5,1,1,0,0,0,0,1,9,60.9,77.5,0
99559.11,2895,2,276,16264.47,15272238.96,24,3,0,6.1209,0,5,0,0,0,0,0,0,4,2,48.7,60.8,0
90385.38,23,1,1237,30993.57,239884.35,35,5,1,2.9162,0,6,0,0,0,0,0,0,3,3,84.5,93.2,0
18119.2,223,3,1805,17435.13,69028.78,38,7,0,1.0392,1,0,0,0,0,0,0,0,1,9,84.3,83.1,0
253769.19,1630,2,1717,35216.65,1991121.0,45,2,0,7.2057,0,7,0,1,0,0,0,0,0,5,88.6,56.4,0
240766.51,839,4,2392,21248.63,146163.22,44,6,0,11.3304,0,5,1,0,0,0,0,0,0,4,70.0,79.9,1
164007.95,788,1,720,10167.27,961050.31,70,4,0,16.1294,0,6,1,1,0,0,0,0,1,9,88.3,88.2,0
114475.87,39,0,569,18785.62,2531437.87,43,4,0,6.0935,0,2,0,1,1,0,0,0,2,5,64.9,92.2,0
19476.11,1795,2,257,10030.42,240697.81,33,2,0,1.9415,1,1,0,0,0,0,0,0,1,2,64.7,69.0,0
86598.0,771,2,3414,63289.97,2961559.15,64,3,1,1.3683,1,5,0,0,0,0,0,0,4,5,99.9,80.0,0
97336.39,2975,1,1654,10018.24,417207.04,57,1,0,9.7149,1,5,0,0,0,0,0,0,0,1,85.2,82.6,0
48853.64,3335,0,1505,41548.48,1391845.44,52,7,0,1.1758,0,1,0,0,0,0,0,0,1,6,68.5,82.0,0
127780.78,2433,2,1215,2875.1,2775127.74,38,2,0,44.4285,1,0,0,0,0,1,0,0,3,5,61.7,88.6,1
298366.03,1435,1,570,6828.0,2379730.04,45,4,1,43.691,0,0,1,0,0,0,0,0,4,3,77.4,87.7,0
2755966.76,1010,0,1567,7019.72,48567.6,59,2,3,392.5476,0,4,1,1,0,0,0,0,0,4,64.5,75.1,0
211475.98,705,0,640,19784.33,1495539.51,42,6,0,10.6885,0,5,0,0,0,0,0,0,0,7,64.2,75.8,0
239504.05,582,1,1600,10105.78,106743.57,51,5,2,23.6974,0,4,0,1,0,0,0,0,0,1,67.6,85.0,0
145558.18,1492,0,1449,80573.79,10747672.53,45,6,0,1.8065,0,4,1,0,1,0,0,0,2,4,72.2,82.7,0
9153.06,108,1,2284,17928.43,3608305.44,63,4,0,0.5105,0,7,0,1,0,0,0,0,3,3,37.4,78.2,0
156408.93,771,0,447,10901.28,7773237.6,28,6,2,14.3464,1,6,1,0,0,0,0,0,3,9,95.7,87.3,0
178143.61,1211,1,491,22795.63,407599.76,45,5,2,7.8145,0,4,0,1,0,0,0,0,4,7,53.2,92.7,0
6549263.57,2306,0,1835,79701.02,10427911.75,19,6,2,82.1719,0,1,0,1,1,0,0,0,1,8,87.4,57.6,0
121961.24,764,0,172,4630.95,373460.26,54,5,1,26.3304,0,7,0,0,1,0,0,0,0,8,73.6,92.8,1
255843.45,352,2,2924,58856.77,14382433.31,72,7,1,4.3468,0,4,0,0,0,0,0,0,0,7,95.2,77.6,0
154497.37,1531,2,2182,123385.2,413283.05,37,7,1,1.2521,1,1,0,0,0,0,0,0,1,3,59.4,75.5,0
28197.34,276,1,2090,21649.55,222422.49,44,7,1,1.3024,1,4,0,0,0,0,0,0,0,8,72.2,91.5,0
903683.28,3556,0,2151,13297.54,19858573.56,59,3,0,67.9536,0,6,0,1,0,0,0,0,2,8,63.4,74.1,0
502775.76,283,2,1081,13844.41,88443.79,62,3,1,36.3135,0,4,0,0,1,0,0,0,2,6,87.3,78.6,1
533144.58,2835,1,2434,69633.2,3085307.26,26,2,2,7.6564,0,0,0,0,0,0,0,0,0,8,66.3,93.0,0
41602.64,1719,0,2450,106724.26,6167273.25,30,1,0,0.3898,0,5,0,0,0,0,0,0,1,2,83.7,79.0,0
1334665.78,319,1,3015,57597.6,1370267.72,26,3,1,23.1718,1,6,0,0,0,0,0,0,2,2,88.2,83.0,0
19875.11,725,2,2662,32495.42,3491424.96,34,5,2,0.6116,0,6,0,0,0,0,0,0,0,7,71.4,74.1,0
392497.58,3627,3,1600,8596.93,2925889.58,33,4,0,45.6502,1,1,0,0,0,0,0,0,1,4,74.7,68.4,0
4349987.11,468,2,2380,5447.0,8387340.25,55,2,3,798.4558,0,4,0,0,0,0,0,0,1,1,61.8,96.0,0
36834.7,1669,0,135,19668.67,35521.56,60,3,2,1.8727,0,7,0,0,0,0,0,0,2,1,79.9,66.6,0
69602.34,375,0,2186,21437.75,1067544.5,53,3,0,3.2466,0,2,0,0,0,0,0,0,2,4,57.8,95.0,0
188995.23,1648,1,3182,20098.97,856282.88,23,4,0,9.4028,1,0,0,1,0,0,0,0,1,6,97.2,90.9,0
76480.15,3261,0,1235,14541.82,415508.95,30,5,3,5.259,0,4,1,0,0,0,0,0,1,5,63.6,62.4,0
15898.89,3262,2,1577,52351.15,77932.13,60,7,1,0.3037,0,7,0,0,1,1,0,0,1,4,75.1,66.4,0
180384.23,1098,2,620,134818.26,983375.55,68,1,2,1.338,0,2,0,0,0,0,0,0,0,8,20.3,87.8,0
33075.38,1525,1,1826,42078.72,3416587.74,73,1,0,0.786,0,1,0,0,0,0,0,0,2,6,92.2,82.5,0
331170.51,1727,1,542,31867.3,1192265.79,55,4,2,10.3918,0,1,0,0,1,0,0,0,0,2,79.2,90.6,0
40980.99,150,0,2159,16076.86,644752.84,55,2,0,2.5489,1,3,0,0,0,0,1,0,2,1,61.4,92.6,0
1664277.42,1830,2,1786,5150.49,21917234.23,18,5,2,323.0672,0,2,1,1,1,0,0,0,1,1,73.6,80.5,0
50267.8,3164,0,1109,20531.53,1348919.48,25,1,2,2.4482,0,6,0,1,0,1,0,0,1,1,96.5,93.0,0
100399.02,2700,2,2047,16698.17,400922.69,61,3,1,6.0122,0,6,0,0,0,0,0,0,1,5,62.8,98.2,0
551433.11,2663,0,1191,2338.58,1573137.39,66,1,0,235.6975,1,0,1,0,0,0,0,0,1,3,84.7,90.2,0
25686.06,714,1,1040,54628.08,376233.48,51,7,1,0.4702,0,1,0,0,1,0,0,0,3,5,77.3,53.4,0
228934.2,240,0,1632,11522.67,1601594.26,18,4,2,19.8664,0,2,0,0,0,0,0,0,3,6,51.9,94.8,0
1156274.93,3133,2,476,16242.98,268754.82,60,4,1,71.1818,0,3,1,0,0,0,0,0,1,3,83.3,79.5,0
14599.98,611,3,1462,28347.57,145458.63,46,1,1,0.515,0,4,0,0,1,0,0,0,2,3,61.2,86.3,0
214690.08,1840,2,803,16372.57,2356285.03,52,1,0,13.112,0,6,0,1,0,0,0,0,1,3,64.5,87.2,0
240343.44,236,0,204,20689.98,578000.99,47,3,0,11.6159,0,7,0,0,0,0,0,0,0,5,59.7,88.5,1
525830.56,3304,1,2772,170789.5,108535.27,36,5,2,3.0788,0,3,0,1,0,0,0,0,1,4,63.6,92.5,0
25452.62,229,1,554,22193.35,514266.03,57,7,2,1.1468,0,3,0,0,0,0,0,0,1,2,89.3,81.6,0
22456.04,913,1,3029,6307.59,2177893.78,30,2,0,3.5596,0,2,0,1,0,0,0,0,3,5,69.4,77.7,0
356080.59,756,0,2055,11385.55,92354.85,34,2,0,31.272,1,3,0,0,0,1,0,0,2,9,57.6,68.2,1
254098.43,2779,1,519,9840.34,2525308.37,52,5,0,25.8195,0,2,0,0,0,0,0,0,2,4,62.7,89.3,0
236981.95,308,1,2638,11289.0,10089729.54,55,3,2,20.9904,0,5,0,0,0,0,0,0,5,7,72.9,65.1,0
273668.37,3630,1,3474,35571.84,6822514.63,35,3,1,7.6932,0,7,0,0,0,0,0,0,0,5,80.6,95.5,0
58686.38,3128,1,2997,6940.01,13196376.59,54,4,0,8.455,0,5,1,0,1,0,0,0,1,3,59.0,88.1,0
230586.32,1309,1,1517,16083.6,46667.91,50,1,1,14.3358,1,5,1,0,0,0,0,0,1,1,70.6,88.6,0
252611.68,3290,2,310,52155.79,4178180.08,53,2,1,4.8433,0,6,0,1,0,0,0,0,2,1,87.2,59.9,0
55741.09,1353,1,3232,43082.7,817288.14,21,6,0,1.2938,0,6,0,0,0,0,0,0,2,9,88.4,73.3,0
2672865.74,3251,1,2355,62086.93,1970718.98,50,3,1,43.0497,0,7,0,0,0,0,0,0,2,1,87.9,84.9,0
331289.99,2175,0,3517,20449.57,1178198.59,49,5,1,16.1995,0,6,0,0,0,0,0,0,1,4,65.0,87.0,0
27256.43,1996,1,1560,25991.24,347408.58,42,4,0,1.0486,1,5,0,1,0,0,0,0,1,3,75.3,89.7,0
435752.81,3307,4,1772,85249.7,4966938.44,31,4,0,5.1114,1,7,0,1,0,0,0,0,2,7,67.4,79.6,0
37721.2,922,1,1356,15665.45,1479776.2,43,1,0,2.4078,0,1,0,0,0,0,0,0,1,7,71.8,77.2,0
529997.15,1249,0,3305,92144.18,534907.95,62,6,3,5.7518,1,4,0,1,1,0,0,0,1,9,98.0,85.9,0
925318.58,736,1,2370,165015.68,5533476.52,65,6,1,5.6074,1,5,0,0,0,0,0,0,3,9,67.6,77.4,0
47523.35,3403,0,3629,7050.85,1626169.9,23,1,1,6.7391,1,7,1,0,1,0,0,0,2,9,82.2,85.8,0
690426.08,29,0,2911,11588.67,352846.19,43,1,0,59.5725,0,4,1,0,0,0,1,0,3,9,70.2,86.2,0
302298.85,2235,0,2323,52933.78,1812032.85,29,4,2,5.7108,0,5,0,0,1,0,0,0,0,8,40.8,71.1,0
558544.87,1800,1,1817,53994.64,2965703.05,71,7,1,10.3443,0,5,0,0,0,0,0,0,2,8,68.9,57.0,0
2800166.6,1748,1,1549,16287.95,2679219.29,27,5,1,171.9059,0,6,0,0,0,0,0,0,0,6,56.4,88.8,0
112636.13,2197,0,2049,126535.67,856858.97,20,4,2,0.8901,0,1,0,1,0,0,0,0,2,1,72.4,82.1,0
52543.45,4,1,2415,26630.57,321171.49,32,1,0,1.973,0,0,0,0,0,0,0,0,1,1,58.3,58.3,0
42861.46,3364,1,1397,10867.34,2065661.17,47,5,0,3.9437,0,2,0,1,0,1,0,0,1,9,97.1,84.9,0
47871.93,2731,1,2840,66162.69,3272870.71,25,3,1,0.7235,1,5,0,0,0,0,0,0,2,2,59.2,98.4,0
144979.47,83,1,3210,24312.58,1445628.66,49,4,4,5.9629,0,0,1,0,0,0,0,0,2,2,72.1,89.8,0
271502.86,1178,1,592,77833.93,4428509.77,35,7,1,3.4882,0,6,1,0,0,0,0,0,2,3,72.4,70.8,0
246480.02,1828,3,959,12445.02,328026.53,45,3,0,19.8039,1,6,0,0,0,0,0,0,2,1,80.9,64.9,0
562853.62,985,0,2241,20311.78,238917.19,30,3,1,27.7093,0,6,0,1,0,0,0,0,1,2,62.7,71.8,0
165960.13,919,3,2665,42053.1,1023392.95,26,4,0,3.9463,0,5,0,0,0,0,0,0,3,6,71.0,97.2,0
1440212.34,3046,4,1376,293211.29,245492.37,41,2,3,4.9118,1,1,0,0,0,0,0,0,3,9,44.8,78.1,0
109427.2,476,0,475,12576.94,4689898.42,60,3,1,8.6999,0,6,0,0,0,1,0,0,1,2,45.9,87.1,0
9628651.57,331,2,2734,15678.08,869674.58,52,2,0,614.1082,0,7,0,1,0,0,0,0,2,2,84.1,88.4,0
416025.16,349,1,1258,5956.18,6998083.08,18,6,1,69.8359,1,2,0,0,0,0,0,0,0,1,49.4,79.6,0
44993.07,1964,1,896,3467.93,197797.03,44,5,0,12.9703,0,0,0,0,1,0,0,0,1,2,34.5,82.7,1
32652.0,3378,3,253,21101.62,1822569.44,32,1,0,1.5473,0,5,0,1,0,0,0,0,3,2,76.4,65.5,0
335611.2,468,1,2130,24905.64,1838739.91,56,3,0,13.4748,0,3,0,0,0,0,0,0,1,8,81.9,90.3,0
116402.1,2825,1,2673,46615.54,2556757.03,62,4,0,2.497,0,2,1,0,0,0,0,0,3,4,85.4,79.2,0
474967.06,1752,1,3057,13454.8,914780.41,65,7,2,35.2983,0,5,0,0,0,0,1,1,2,1,83.7,98.9,1
330994.3,687,0,2385,8326.96,2116739.47,44,5,1,39.7449,0,1,0,1,0,0,0,0,1,6,90.4,88.3,0
145911.66,3185,0,2284,8371.7,4342473.23,55,1,0,17.4271,1,1,0,0,1,0,0,0,2,2,78.8,90.2,0
45697.98,169,1,942,17711.61,283070.32,72,3,1,2.58,1,4,1,0,0,0,0,0,3,7,61.2,97.1,0
16776.41,3341,0,283,109117.69,2755418.31,31,7,1,0.1537,0,5,0,0,0,0,0,0,1,9,64.2,91.2,0
83301.98,1722,1,2566,5146.22,160486.84,20,1,1,16.1839,0,2,1,0,1,0,0,0,1,2,73.0,64.7,0
588068.19,3409,1,829,8094.11,198262.58,26,4,3,72.6449,0,0,0,0,0,0,0,0,3,7,49.4,79.8,0
224389.94,1778,1,2823,38380.76,597634.37,58,4,0,5.8463,1,4,0,1,0,0,0,1,4,6,63.0,78.9,0
25119.3,3258,0,2632,30555.16,14916379.67,34,2,1,0.8221,0,2,0,0,0,0,0,0,3,8,87.5,60.3,0
211033.34,2779,0,1837,59878.27,225241.63,32,2,1,3.5243,0,3,0,1,0,0,0,0,2,8,90.5,85.4,0
290098.58,1382,1,3350,17679.28,281017.04,70,7,1,16.408,1,4,0,0,0,0,0,0,1,4,68.3,95.2,0
43226.71,1346,2,2447,21061.15,234068.86,32,4,0,2.0523,1,2,0,1,0,1,0,0,1,4,90.0,82.8,0
204963.6,254,1,2969,11195.44,3533331.21,22,3,1,18.3061,1,3,0,1,0,0,0,0,2,7,64.6,74.3,0
177604.26,161,1,887,7204.3,3247548.29,49,6,0,24.6491,0,7,0,0,1,0,0,0,1,9,81.9,77.6,0
29305.91,3525,0,3565,331458.6,9707542.24,60,5,0,0.0884,0,7,0,0,0,0,0,0,1,5,90.9,90.5,0
278362.93,846,0,1534,25010.31,196648.19,34,5,0,11.1295,1,0,1,1,0,0,0,0,4,6,80.3,93.1,0
377443.73,27,3,1628,55728.05,645939.95,71,7,1,6.7728,1,2,1,1,0,0,0,1,1,3,71.4,85.6,0
826187.37,2354,2,1402,227164.01,12959463.94,65,3,0,3.6369,1,3,0,1,0,0,0,0,0,7,77.9,82.2,0
790723.07,2619,0,1621,2812.31,291936.03,21,1,0,281.065,1,5,0,0,0,0,0,0,2,3,84.4,56.6,0
20609.26,2404,1,1951,22420.04,1393785.25,30,5,1,0.9192,0,4,0,0,0,0,0,0,0,5,61.9,78.3,0
39865.34,987,1,3296,15283.98,539766.58,23,6,0,2.6081,1,7,0,1,1,0,0,0,2,1,89.9,86.5,0
352410.83,1614,1,1351,78214.07,1761585.92,48,3,1,4.5057,0,0,0,0,0,1,0,0,1,5,62.9,96.9,0
351751.04,3535,2,3484,5011.44,983020.62,46,2,2,70.1756,0,1,0,0,0,0,0,0,3,2,72.0,88.1,0
352417.39,1179,3,1573,33167.61,11660726.49,22,6,0,10.625,1,6,0,0,0,0,0,0,2,5,79.1,78.0,0
52645811.3,2747,0,1821,58348.94,5844458.34,28,4,3,902.2428,0,4,0,0,0,0,0,0,2,7,96.0,87.5,0
383208.98,696,1,2897,85359.0,2077597.38,38,3,0,4.4893,1,5,0,0,0,0,0,0,2,7,66.7,91.1,0
893899.35,3066,0,2473,8595.8,550553.62,70,6,0,103.9805,0,5,0,0,1,0,0,0,2,8,48.6,76.3,0
